Sector,Ticket type,Year,Fare_Index,YoY_Change,Cumulative_Inflation
London and South East,All tickets,2007,115.059629155144,4.9648837088261795,15.059629155143995
London and South East,All tickets,2008,121.807511919616,5.864683220361597,21.807511919616005
London and South East,All tickets,2009,130.053598806932,6.7697687583979285,30.053598806932
London and South East,All tickets,2010,130.620244782978,0.4357018807970129,30.620244782978006
London and South East,All tickets,2011,139.318594216912,6.659265911180974,39.318594216912004
London and South East,All tickets,2012,147.807754759845,6.093343527222083,47.80775475984501
London and South East,All tickets,2013,154.354933561972,4.429523209228568,54.35493356197199
London and South East,All tickets,2014,158.664626713676,2.7920669927752653,58.664626713676
London and South East,All tickets,2015,162.352041501407,2.3240307963445805,62.352041501407
London and South East,All tickets,2016,163.504166375484,0.7096460650708963,63.504166375484004
London and South East,All tickets,2017,165.941458044138,1.490660282660194,65.94145804413799
London and South East,All tickets,2018,171.243622059727,3.1952015355793137,71.24362205972699
London and South East,All tickets,2019,175.750290048922,2.631728957253176,75.75029004892201
London and South East,All tickets,2020,180.417160712044,2.655398555429359,80.417160712044
London and South East,All tickets,2021,184.437557660817,2.228389435298663,84.43755766081699
London and South East,All tickets,2022,191.962936086444,4.080176793202967,91.96293608644399
London and South East,All tickets,2023,203.49900498499971,6.009529304844998,103.49900498499971
London and South East,All tickets,2024,213.63977941587424,4.98320590394141,113.63977941587424
London and South East,All tickets,2025,224.73138229464303,5.1917311041487775,124.73138229464303
London and South East,Anytime,2004,100,NA,0
London and South East,Anytime,2005,104.18278065681601,4.182780656816007,4.182780656816007
London and South East,Anytime,2006,109.774510856174,5.367230711356681,9.774510856174004
London and South East,Anytime,2007,115.362411463807,5.0903443468349785,15.362411463807007
London and South East,Anytime,2008,121.931348498709,5.694174516248635,21.931348498709
London and South East,Anytime,2009,131.238993000438,7.633512313552039,31.238993000438
London and South East,Anytime,2010,131.69523477967,0.3476419384218111,31.69523477966999
London and South East,Anytime,2011,139.760819597962,6.124431785087733,39.76081959796201
London and South East,Anytime,2012,148.753359516296,6.434235248621222,48.753359516296
London and South East,Anytime,2013,155.603262195932,4.60487259038044,55.60326219593199
London and South East,Anytime,2014,159.606815717568,2.5729238996254633,59.606815717568
London and South East,Anytime,2015,162.700938285632,1.9385905007585609,62.70093828563199
London and South East,Anytime,2016,163.900221359932,0.7371088863633926,63.900221359932004
London and South East,Anytime,2017,166.119920971982,1.3542993375069559,66.119920971982
London and South East,Anytime,2018,171.054973255355,2.9707769269920155,71.05497325535501
London and South East,Anytime,2019,175.484276089885,2.589403131774372,75.48427608988499
London and South East,Anytime,2020,180.138808157413,2.6523926651661407,80.138808157413
London and South East,Anytime,2021,184.661443402286,2.5106390406008146,84.66144340228601
London and South East,Anytime,2022,191.680915283747,3.801265576685127,91.680915283747
London and South East,Anytime,2023,202.88201137292668,5.843615715523166,102.88201137292668
London and South East,Anytime,2024,212.82924788082147,4.902966231742605,112.82924788082147
London and South East,Anytime,2025,222.8636388753603,4.714761290777951,122.8636388753603
London and South East,Off Peak,2004,100,NA,0
London and South East,Off Peak,2005,105.734655668979,5.734655668979002,5.734655668979002
London and South East,Off Peak,2006,110.827086243191,4.816236022137108,10.827086243191005
London and South East,Off Peak,2007,116.745679021636,5.340384719181062,16.745679021635993
London and South East,Off Peak,2008,124.049083155997,6.255823937610138,24.049083155996996
London and South East,Off Peak,2009,133.104463698417,7.299836735618973,33.10446369841699
London and South East,Off Peak,2010,134.841194102583,1.3047874999151146,34.84119410258299
London and South East,Off Peak,2011,143.48478423613,6.4101999326490935,43.48478423613
London and South East,Off Peak,2012,152.30801856647,6.149247376516093,52.30801856647
London and South East,Off Peak,2013,158.918128761229,4.339962043347208,58.91812876122901
London and South East,Off Peak,2014,163.171020251445,2.676152509073303,63.171020251444986
London and South East,Off Peak,2015,166.976086241199,2.3319496218693994,66.976086241199
London and South East,Off Peak,2016,168.459719656708,0.888530476972531,68.45971965670799
London and South East,Off Peak,2017,171.575757372805,1.8497227244868668,71.57575737280499
London and South East,Off Peak,2018,177.074326967587,3.2047473832999427,77.07432696758701
London and South East,Off Peak,2019,181.94683787625,2.7516755207291426,81.94683787624999
London and South East,Off Peak,2020,186.530427239579,2.51919154893284,86.53042723957901
London and South East,Off Peak,2021,191.309609118097,2.562145999043697,91.309609118097
London and South East,Off Peak,2022,198.583304929175,3.802054609075014,98.583304929175
London and South East,Off Peak,2023,210.30178880472675,5.901041822086286,110.30178880472675
London and South East,Off Peak,2024,220.95896253591724,5.067562093390501,120.95896253591724
London and South East,Off Peak,2025,231.78435500775933,4.899277380559934,131.78435500775933
London and South East,Other,2004,100,NA,0
London and South East,Other,2005,100.36708491896,0.3670849189600034,0.3670849189600034
London and South East,Other,2006,100.75169405536,0.3832024579677182,0.7516940553600051
London and South East,Other,2007,105.579106199952,4.791395509379199,5.579106199951994
London and South East,Other,2008,110.994891680186,5.129599667170197,10.994891680186
London and South East,Other,2009,112.685641419886,1.5232680658598416,12.685641419885997
London and South East,Other,2010,113.914612153135,1.0906187494373343,13.914612153134996
London and South East,Other,2011,119.95043523119,5.298550347466459,19.95043523119
